id,clean_title,stemmed_body,category
64148,hoaks akun facebook dan whatsapp mengatasnamakan kepala bkpsdm kota bekasi anjar budiono,jelas edar buah akun facebook mengatasnamakan kepala badan pegawai kembang sumber daya manusia bkpsdm kota bekas anjar budiono akun facebook sebut guna nama foto profil kepala bkpsdm kota bekas anjar budiono nomor whatsapp fakta lansir akun instagram resmi bkpsdm kota bekas bkpsdmbekasikota akun facebook sebut bukan akun resmi guna pihak tanggung jawab laku tipu modus tawar beri informasi kait mutasi lalu facebook messenger whatsapp bkpsdm kota bekas sampai kepala bkpsdm kota bekas pernah urus mutasi lalu akun facebook pribadi tidak pernah minta data pribadi dokumen maupun jumlah uang lalu facebook messenger whatsapp segala informasi pegawai sampai lalu salur resmi bkpsdm kota bekas masyarakat imbau tidak mudah percaya jangan beri data pribadi laku transfer uang segera lapor akun sebut facebook konfirmasi informasi lalu kanal resmi bkpsdm kota bekas lalu akun instagram bkpsdmbekasikota dan situs resmi bkpsdmbekasikotagoid link counter,Klarifikasi Hoaks
64147,hoaks raja malaysia melarang penggunaan bahasa indonesia di malaysia,jelas edar unggah media sosial youtube klaim raja malaysia resmi larang guna bahasa indonesia menandatangani atur usir siapa guna bahasa melayu judul video sebut buat provokatif timbul kesan perintah malaysia keluar bijak khusus target guna bahasa indonesia negara sebut fakta klaim sebut benar lansir turnbackhoaxid hasil telusur tunjuk ada atur maupun nyata resmi larang guna bahasa indonesia malaysia sultan ibrahim memang pernah tegas bahasa melayu jadi bahasa utama rupa bahasa bangsa malaysia nyata sebut sampai konteks bahas sistem didik penting hormat bahasa nasional malaysia tidak ada bagi nyata sebut sebut larang bahasa indonesia ancam usir warga yang guna bahasa link counter,Klarifikasi Hoaks
64146,hoaks tautan pendaftaran rekrutmen sekolah tani indonesia,jelas edar buah unggah media sosial facebook isi taut klaim ada rekrutmen sekolah tani indonesia fakta klaim sebut benar lansir turnbackhoaxid laku kece mesin cari google masuk kata kunci taut daftar rekrutmen sekolah tani indonesia hasil tidak temu informasi media kredibel benar klaim sebut itu akses taut sedia lamar justru minta isi data pribadi upa nama alamat nomor telegram aktif lansir sekolahtaniorg memang benar sedia tetapi mekanisme daftar lalu laman resmi milik sekolah tani indonesia lalu alamat email resmi cantum tanisekolahgmailcom kontak whatsapp link counter,Klarifikasi Hoaks
64145,hoaks tautan pendaftaran lowongan kerja pt petrosea,jelas edar buah unggah media sosial tiktok klaim ada lowong kerja pt petrosea tbk seluruh indonesia fakta klaim sebut tidak benar lansir turnbackhoaxid taut unggah arah halaman curiga isi formulir digital minta isi data pribadi nama alamat nomor telegram tahu daftar lowong kerja pt petrosea dapat laku lalu laman resmi careerpetroseacom link counter,Klarifikasi Hoaks
64142,hoaks akun whatsapp mengatasnamakan kepala biro kerja sama daerah provinsi dki jakarta,jelas edar nomor akun whatsapp aku kepala biro kerja sama daerah provinsi dki jakarta tona hutauruk hubung jumlah pihak minta jumlah uang lansir jalahoaksjakartagoid tahu nomor edar benar tona tegas diri tidak pernah guna nomor tona imbau warga jakarta tidak merespon nomor sebut sinyalir modus tipu catut diri masyarakat imbau tidak merespon nomor sebut masuk modus tipu link counter,Klarifikasi Hoaks
64141,hoaks rekrutmen petugas ppsu dan damkar dki,jelas edar informasi whatsapp muat taut daftar rekrutmen sedia jasa lain orang pjlp tangan prasarana sarana umum ppsu tugas madam bakar damkar provinsi dki jakarta periode mei hingga juni taut arah daftar buka taut lain fakta klaim sebut benar lansir jalahoaksjakartagoid hasil koordinasi tim jalahoaks dinas tanggulang bakar selamat gulkarmat provinsi dki jakarta tahu tidak ada informasi rekrutmen tugas damkar wilayah provinsi dki jakarta adapun taut cantum arah laman informasi kerja bukan asal perintah provinsi dki jakarta link counter,Klarifikasi Hoaks
64140,hoaks undian berhadiah bank bengkulu pada mei,jelas edar unggah media sosial facebook tawar program undi hadiah bank bengkulu guna media sosial minta daftar lalu facebook imingiming hadiah upa kendara motor paket umrah haji barang elektronik hingga logam mulia fakta lansir kompascom akun facebook tawar undi hadiah bukan akun media sosial resmi bank bengkulu akun facebook resmi bank bengkulu milik centang biru tanda akun verifikasi lalu situs resmi bankbengkulucoid temu informasi kena program undi hadiah bank bengkulu mei mekanisme yang jelas narasi edar bank bengkulu imbau nasabah berhatihati akunakun media sosial mengatasnamakan bank sebut link counter,Klarifikasi Hoaks
64139,hoaks tautan pendaftaran lowongan kerja bank mega tahun,jelas edar buah unggah media sosial tiktok isi taut klaim ada lowong kerja pt bank mega tbk tambah narasi sempat berkarir sama bank mega bagi industri perban modern indonesia bank mega buka peluang fresh graduate maupun alam gabung kembang sama usaha fakta klaim sebut benar lansir turnbackhoaxid laku kece mesin cari google masuk kata kunci taut daftar lowong kerja bank mega tidak temu informasi media kredibel benar klaim sebut itu akses taut sedia lamar justru minta isi data pribadi upa nama alamat nomor telegram aktif lansir situs resmi milik bank mega careerbankmegacom ada informasi ada lowong kerja sedia bank mega link counter,Klarifikasi Hoaks
64138,hoaks tautan untuk klaim voucher cashback rp juta dari shopee,jelas edar buah unggah media sosial facebook klaim ada taut utnuk klaim voucher cashback rp juta shopee serta surat pemberitahuan pt shopee indonesia fakta klaim sebut benar lansir kompascom tidak temu informasi kredibel benar isu sebut lalu akun instagram resmi shopee shopeecareid april shopee imbau masyarakat waspada bagai modus tipu mengatasnamakan shopee salah satu surat tanda tangan palsu tim shopee indonesia modus rupa pernah edar dan ban shopee indonesia link counter,Klarifikasi Hoaks
64137,hoaks tautan lowongan kerja pt wilmar,jelas edar buah unggah media sosial tiktok isi taut narasi klaim dapat lowong kerja pt wilmar nabati indonesia gabung sama usaha agribisnis muka bidang olah kelapa sawit minyak nabati fakta klaim sebut tidak benar lansir turnbackhoaxid taut arah laman minta isi data pribadi hingga unggah daftar riwayat hidup curriculum vitae cv masuk kata kunci lowong kerja pt wilmar mesin cari google hasil temu akun resmi instagram pt wilmar infowilmar bio akun dapat taut linktreeinfowilmar dasar taut sebut tahu laman resmi rekrutmen pt wilmar erecruitmentwilmarcoid link counter,Klarifikasi Hoaks
